Meal_Name,Meal_Type,Calories_kcal,Protein_g,Carbs_g,Fats_g
High Protein Chicken,Breakfast,186,28.2,108.4,7.5
Spicy Sprouts,Dinner,541,22.1,103.5,38.3
Curry Quinoa,Snack,433,23.4,30.0,17.4
Butter Sprouts,Lunch,625,12.2,36.8,32.2
Curry Pulao,Breakfast,547,48.8,102.1,17.6
Steamed Rajma,Snack,154,49.1,68.2,7.5
Roasted Fish,Snack,192,34.5,30.6,31.2
Butter Chole,Dinner,377,11.5,117.7,34.9
Steamed Tofu,Breakfast,228,43.8,77.3,24.6
Tandoori Roti,Lunch,382,8.2,117.1,21.0
Masala Chole,Breakfast,197,11.0,37.8,28.5
Mild Soya,Breakfast,403,43.6,83.1,36.5
Masala Chole,Lunch,788,34.0,46.2,11.4
Mild Mushroom,Breakfast,594,18.0,13.9,20.1
Low Fat Upma,Lunch,544,18.5,74.6,9.2
High Protein Sprouts,Breakfast,356,34.3,71.8,11.9
Masala Upma,Lunch,628,31.1,38.0,27.1
Butter Quinoa,Breakfast,725,27.3,118.9,38.4
Garlic Tofu,Dinner,212,9.5,48.0,21.5
Tandoori Lentil,Snack,436,27.3,58.8,26.1
Masala White Rice,Dinner,533,9.6,106.5,7.0
Grilled Dosa,Lunch,518,28.8,71.0,21.3
Roasted Salad,Breakfast,291,49.6,63.0,24.4
High Protein White Rice,Snack,403,25.5,34.5,32.8
Low Fat Pulao,Breakfast,376,37.7,75.4,17.4
Curry Chicken,Breakfast,523,40.6,86.2,6.6
Vegan Dosa,Lunch,487,33.1,44.1,31.5
Classic Smoothie,Dinner,796,30.7,93.7,6.4
Tandoori Fish,Dinner,191,28.4,40.8,28.3
Dry Dal,Dinner,352,25.5,15.3,33.1
Vegan Soup,Lunch,282,47.2,102.2,30.1
High Protein Lentil,Breakfast,232,49.3,10.6,7.6
Steamed Chicken,Breakfast,656,33.5,19.2,26.2
Classic Soup,Lunch,647,7.3,25.2,17.3
Dry Upma,Breakfast,618,37.8,41.3,12.5
Herb Lentil,Snack,794,21.6,80.7,39.5
Low Fat Brown Rice,Snack,773,12.4,15.3,19.5
High Protein Dal,Snack,422,41.4,111.2,10.4
Dry Idli,Dinner,280,29.2,10.1,23.4
Low Fat Chicken,Dinner,500,11.1,62.4,6.9
Butter Pulao,Lunch,657,32.1,47.4,6.8
Curry Paratha,Dinner,297,20.2,47.7,12.5
Masala Fish,Lunch,437,12.9,11.8,19.6
Roasted Biryani,Snack,753,18.3,78.7,17.6
Tandoori Pulao,Breakfast,795,21.2,99.3,35.4
Low Fat Chole,Breakfast,719,12.5,19.1,7.7
Curry Chicken,Dinner,260,49.7,86.3,25.9
Classic Egg,Lunch,582,24.9,62.4,31.1
Tandoori Chicken,Breakfast,619,38.9,96.6,14.2
Steamed Tofu,Snack,341,37.0,78.8,39.8
Fried Oats,Dinner,329,49.0,34.5,16.9
Fried Poha,Snack,750,37.3,110.6,26.7
Herb Quinoa,Breakfast,626,29.9,28.7,38.5
High Protein Salad,Lunch,518,22.2,101.9,30.2
Curry Dosa,Lunch,792,7.6,46.6,27.1
Herb Roti,Dinner,405,44.4,21.4,13.7
Fried Upma,Breakfast,460,17.9,78.0,28.5
Roasted Sprouts,Breakfast,334,12.7,30.0,26.7
Masala Lentil,Snack,481,36.0,110.0,27.2
Low Fat Brown Rice,Breakfast,552,13.5,18.3,26.4
Steamed Lentil,Dinner,196,28.7,88.2,11.7
Spicy Soup,Dinner,160,46.3,18.7,33.4
Spicy White Rice,Dinner,280,25.0,46.8,20.4
Herb Egg,Breakfast,608,15.8,117.3,12.4
Mild Fish,Breakfast,776,24.6,92.3,27.9
Curry Lentil,Breakfast,727,49.4,68.8,38.9
Grilled Roti,Lunch,780,12.9,81.3,22.6
Fried Salad,Lunch,683,17.7,74.0,18.4
Vegan Rajma,Lunch,794,6.7,105.4,28.0
Mild White Rice,Breakfast,704,21.0,93.2,14.7
Butter Quinoa,Dinner,196,20.9,93.8,12.0
Herb Dal,Lunch,195,48.4,23.7,27.8
Steamed Biryani,Breakfast,728,16.0,37.8,27.2
Dry Salad,Breakfast,491,6.2,109.2,35.0
Curry Brown Rice,Lunch,256,11.7,14.3,20.2
Classic Soya,Snack,642,24.6,82.4,32.1
Herb Chicken,Lunch,757,49.9,94.6,34.1
Mild Roti,Breakfast,474,27.1,39.0,36.5
Mild Sandwich,Snack,377,8.7,53.9,24.0
Roasted Tofu,Dinner,198,11.6,32.6,37.3
Garlic Lentil,Breakfast,230,14.1,111.1,14.5
Steamed Salad,Breakfast,670,6.9,28.0,14.8
Masala Tofu,Snack,777,15.2,46.1,25.8
Masala Soup,Breakfast,752,48.3,96.4,20.2
Classic Lentil,Lunch,425,6.8,90.6,33.8
Herb Dal,Dinner,376,22.5,73.7,24.2
High Protein Soya,Snack,583,42.3,95.3,39.4
Low Fat Lentil,Snack,162,45.5,32.1,31.9
Grilled White Rice,Dinner,619,24.8,45.0,32.7
Roasted Pulao,Breakfast,752,24.9,80.4,19.3
Classic Sandwich,Snack,377,6.0,29.7,8.0
Dry White Rice,Snack,670,37.1,51.0,18.2
Spicy Upma,Lunch,232,5.0,109.8,21.5
Mild Lentil,Snack,188,14.6,33.0,38.6
Low Fat Sprouts,Lunch,651,36.8,96.0,28.4
Garlic Dal,Dinner,768,41.7,15.8,18.3
Garlic Biryani,Breakfast,732,47.9,68.7,28.0
Dry Soya,Dinner,754,27.7,83.6,39.9
Fried Biryani,Dinner,250,34.3,51.7,22.8
Curry Fish,Dinner,694,14.8,107.3,17.1
Grilled Dal,Breakfast,537,6.2,86.0,9.9
High Protein Soup,Dinner,283,14.3,99.5,23.3
Fried Egg,Snack,281,24.2,82.8,16.2
Garlic Brown Rice,Snack,304,26.1,76.4,9.2
Classic Paratha,Breakfast,483,30.6,64.6,6.1
Fried Pulao,Breakfast,156,16.8,75.8,22.7
Dry Brown Rice,Lunch,671,5.8,20.3,11.9
Dry Brown Rice,Lunch,527,36.8,102.1,27.6
Garlic Dosa,Dinner,793,12.9,46.5,22.6
Classic Brown Rice,Lunch,178,26.8,68.0,8.0
Garlic Soup,Snack,744,35.7,35.4,24.1
Masala Lentil,Lunch,175,25.9,70.6,10.9
Mild Dosa,Dinner,381,26.1,31.4,8.0
Herb Poha,Dinner,742,29.5,88.7,13.4
High Protein Poha,Snack,294,24.3,32.5,20.5
Butter Dosa,Snack,575,13.3,68.7,16.2
Mild Paneer,Snack,364,37.3,24.6,30.6
Curry Lentil,Breakfast,482,24.3,70.0,19.5
Classic Upma,Breakfast,653,12.2,113.1,18.5
Steamed Paneer,Breakfast,533,34.7,55.6,30.3
Grilled Oats,Snack,601,25.1,110.0,6.8
Curry Soup,Dinner,708,14.9,81.4,36.9
Fried Quinoa,Lunch,418,24.2,65.8,23.3
Steamed Fish,Dinner,339,45.6,57.9,16.1
Steamed Sprouts,Snack,674,33.1,77.8,8.2
Spicy Salad,Snack,767,15.4,53.3,14.1
Grilled Upma,Lunch,708,18.3,105.5,31.0
Tandoori Mushroom,Dinner,182,5.2,104.1,33.0
Steamed Roti,Breakfast,202,24.8,112.7,23.0
Mild Pulao,Lunch,413,8.6,29.8,26.0
Tandoori Chole,Lunch,333,13.1,77.0,34.6
Garlic Paneer,Lunch,725,12.3,64.6,37.2
Curry Pulao,Breakfast,674,7.0,97.5,22.2
Tandoori Salad,Lunch,253,35.3,16.2,5.3
Curry Paneer,Breakfast,246,42.4,23.6,14.1
Low Fat Tofu,Lunch,271,23.1,55.1,14.1
Garlic Khichdi,Dinner,297,33.1,101.1,21.8
Garlic Soya,Lunch,750,14.8,49.4,30.8
Steamed Tofu,Snack,709,20.5,101.2,19.3
Classic Rajma,Breakfast,417,12.5,11.7,5.4
Butter Upma,Breakfast,362,7.8,105.4,29.8
High Protein Rajma,Dinner,202,45.4,13.0,14.8
Garlic Soup,Breakfast,437,22.7,104.9,29.5
Roasted Dal,Lunch,788,10.0,38.5,27.0
Spicy Upma,Snack,604,9.4,92.7,23.3
Grilled Paneer,Dinner,301,32.9,57.1,6.9
Masala Egg,Dinner,543,28.9,91.3,36.7
Masala Quinoa,Breakfast,273,25.7,115.7,21.0
Masala Lentil,Snack,168,35.8,100.3,8.4
Low Fat Paneer,Dinner,689,13.3,61.2,18.9
Curry Sandwich,Dinner,568,33.8,87.7,32.3
Mild Tofu,Snack,403,40.3,101.2,9.7
Tandoori Smoothie,Snack,686,33.5,65.2,34.3
Grilled Egg,Lunch,300,29.7,75.2,24.3
Mild Soup,Dinner,235,24.5,100.0,33.8
High Protein Paneer,Dinner,692,10.0,24.6,15.9
Dry Sprouts,Snack,249,28.4,53.7,23.1
Masala Dosa,Lunch,509,28.3,101.7,25.2
Steamed Tofu,Lunch,233,27.0,30.3,36.5
Spicy Lentil,Dinner,558,45.0,20.2,27.4
Mild Dal,Breakfast,679,22.2,53.8,37.6
Tandoori Chole,Snack,759,37.1,20.2,27.8
Tandoori Fish,Dinner,799,46.1,92.4,18.8
Vegan White Rice,Lunch,707,11.1,48.1,36.4
Low Fat Rajma,Breakfast,361,45.8,68.7,35.4
Steamed Poha,Lunch,776,21.7,37.2,17.7
Grilled Brown Rice,Lunch,440,6.3,54.7,8.5
Mild Dosa,Lunch,656,47.7,17.8,37.0
Roasted Idli,Lunch,232,21.0,116.8,31.9
High Protein Sandwich,Dinner,737,6.8,97.9,23.9
Low Fat Soup,Snack,377,45.8,97.9,21.5
Roasted Biryani,Lunch,202,20.5,11.3,8.0
Low Fat White Rice,Breakfast,275,22.6,63.8,10.2
Butter White Rice,Dinner,361,23.9,105.7,13.0
Grilled Brown Rice,Dinner,780,17.4,91.2,19.9
Tandoori Dosa,Dinner,307,46.7,32.4,27.3
Tandoori Oats,Lunch,760,41.5,57.7,21.2
Spicy Fish,Dinner,466,40.2,82.9,37.0
Spicy Sandwich,Breakfast,588,25.7,12.1,16.7
Garlic Salad,Dinner,517,49.2,23.4,11.3
Masala Biryani,Lunch,760,48.7,53.1,11.8
Dry Chicken,Lunch,423,5.2,82.0,16.0
Tandoori Rajma,Dinner,496,16.8,21.0,34.7
Grilled Mushroom,Lunch,654,14.1,10.3,17.8
Curry Roti,Dinner,534,27.0,82.7,19.8
Vegan Soya,Snack,278,30.5,18.3,25.7
Classic Rajma,Dinner,554,48.1,11.2,20.9
Mild Paratha,Snack,617,17.1,82.8,31.0
Spicy Poha,Breakfast,644,16.5,15.6,6.3
Masala Paratha,Dinner,475,40.3,103.5,9.5
Spicy Fish,Breakfast,299,12.6,15.8,16.0
Tandoori Upma,Breakfast,273,14.2,106.3,20.9
Vegan Soup,Breakfast,314,6.3,94.9,28.3
Garlic Soup,Breakfast,284,28.7,32.0,33.2
Low Fat Dal,Breakfast,708,31.1,20.5,28.8
High Protein Oats,Dinner,217,33.3,51.8,5.5
Masala Tofu,Lunch,669,46.1,33.6,30.9
Spicy Pulao,Snack,173,28.2,17.9,39.3
Vegan White Rice,Breakfast,721,8.4,80.2,21.1
Grilled Sandwich,Lunch,653,13.0,72.6,30.4
High Protein Paneer,Breakfast,295,22.0,66.0,37.9
Spicy Chicken,Snack,210,30.0,59.7,25.0
Masala Paratha,Breakfast,219,13.6,43.4,14.8
High Protein Brown Rice,Dinner,439,12.5,29.6,12.1
Low Fat Lentil,Dinner,374,32.4,27.4,16.8
Roasted Quinoa,Dinner,187,7.9,89.3,37.3
Tandoori Paneer,Breakfast,290,34.4,54.9,20.8
Curry Quinoa,Breakfast,322,18.3,100.5,39.1
Roasted Sandwich,Snack,239,7.8,20.2,10.2
Herb Paneer,Breakfast,284,40.4,40.1,6.5
Curry Paneer,Lunch,584,41.6,11.1,35.7
High Protein Dosa,Snack,401,40.3,51.1,6.2
High Protein Dal,Snack,215,27.8,73.6,15.1
Roasted Dosa,Dinner,555,36.3,95.1,28.5
Grilled White Rice,Lunch,746,12.0,23.7,28.7
High Protein Fish,Dinner,547,40.8,94.6,10.1
Fried Paneer,Breakfast,187,48.4,91.8,22.7
Garlic Idli,Dinner,530,16.7,72.1,36.4
Spicy Biryani,Snack,155,18.3,45.5,35.1
Butter Khichdi,Lunch,350,25.2,50.8,16.5
Fried Smoothie,Snack,491,49.3,110.0,28.5
Tandoori Biryani,Snack,162,38.6,64.4,5.2
Spicy Dal,Lunch,203,35.0,70.4,29.7
Curry Roti,Lunch,195,22.8,58.8,12.4
Steamed Chicken,Breakfast,353,27.8,98.8,34.2
Grilled Tofu,Breakfast,680,8.3,99.8,28.3
Herb Sprouts,Dinner,310,22.1,34.2,17.3
Butter Salad,Lunch,366,47.1,24.6,16.6
Steamed Egg,Breakfast,152,20.5,99.3,16.9
Masala Sandwich,Snack,793,45.0,29.9,8.5
Vegan Biryani,Snack,212,11.7,107.0,6.8
Butter Poha,Snack,631,20.0,64.4,20.3
Fried Salad,Dinner,622,45.1,16.1,25.9
Masala Soup,Snack,724,26.1,104.2,21.8
Classic Soya,Breakfast,574,27.0,115.3,22.5
Masala Rajma,Dinner,244,6.8,17.0,24.1
Vegan Brown Rice,Dinner,700,23.6,79.1,32.5
Butter Smoothie,Lunch,503,13.3,99.7,25.1
Curry Rajma,Dinner,502,39.3,32.0,9.0
Fried Quinoa,Dinner,478,11.2,78.1,30.9
Grilled Chole,Breakfast,408,29.9,46.4,18.9
Butter Dal,Lunch,452,33.9,95.6,18.1
Classic Idli,Lunch,185,30.9,13.4,5.5
Herb Sandwich,Lunch,219,26.3,27.4,11.3
Garlic Tofu,Dinner,272,18.2,87.3,38.7
Herb Chicken,Dinner,737,18.2,27.3,32.3
Herb Smoothie,Snack,629,41.7,27.1,37.2
Butter Salad,Lunch,332,22.9,45.5,30.6
Grilled Oats,Snack,746,11.1,107.3,35.4
Low Fat Smoothie,Breakfast,352,9.5,72.3,27.3
Fried Brown Rice,Breakfast,777,48.1,117.2,17.8
Curry Lentil,Snack,647,17.5,88.9,25.3
Roasted White Rice,Breakfast,498,5.3,59.5,17.2
Garlic Khichdi,Breakfast,476,49.6,97.8,20.0
Roasted Lentil,Breakfast,600,28.9,58.7,6.4
Tandoori Roti,Dinner,692,14.0,113.3,20.1
Fried Paratha,Breakfast,701,24.1,114.8,30.2
Low Fat Tofu,Lunch,779,10.9,98.2,37.4
Spicy Chole,Dinner,566,6.0,87.4,16.8
Grilled Khichdi,Lunch,458,29.4,112.4,34.7
Garlic Rajma,Dinner,680,7.5,100.3,30.3
Garlic Quinoa,Snack,784,21.2,80.0,9.7
Fried Roti,Dinner,304,36.7,65.3,37.8
Grilled White Rice,Snack,353,6.4,45.7,6.8
Fried Brown Rice,Dinner,597,34.5,119.0,31.6
Low Fat Roti,Snack,738,44.9,92.2,19.9
High Protein Quinoa,Lunch,643,22.3,59.4,39.5
Fried Oats,Breakfast,652,27.1,62.5,8.8
High Protein Oats,Snack,437,30.6,97.9,10.1
Herb Brown Rice,Breakfast,434,44.9,113.7,27.1
Roasted Egg,Lunch,523,18.0,83.6,21.6
Garlic Fish,Snack,757,41.9,24.3,29.8
Mild Smoothie,Breakfast,297,41.0,109.9,29.7
Steamed Dal,Lunch,349,21.3,15.6,7.6
Low Fat Biryani,Dinner,428,44.3,88.7,14.0
Curry Paratha,Lunch,579,27.2,95.4,26.6
Butter Dal,Dinner,493,46.0,93.0,28.6
Butter Sandwich,Dinner,358,9.3,34.7,27.8
Grilled Brown Rice,Breakfast,673,7.4,19.7,39.0
Herb Oats,Snack,582,39.3,92.6,22.8
Curry Chole,Breakfast,774,28.8,16.6,28.8
Low Fat Upma,Dinner,720,9.2,29.3,26.4
Dry Upma,Snack,653,33.9,101.2,17.6
Grilled Salad,Breakfast,788,18.9,24.7,14.9
Fried Smoothie,Dinner,335,14.0,104.3,7.1
Vegan Soya,Breakfast,668,48.7,58.7,28.2
Mild White Rice,Breakfast,582,10.4,43.2,28.4
Herb Roti,Breakfast,640,43.7,34.9,37.1
Tandoori Idli,Dinner,609,11.7,74.8,17.2
Dry Upma,Snack,617,43.0,80.4,27.8
Curry Biryani,Lunch,190,17.0,92.1,28.0
Tandoori Dal,Breakfast,465,27.0,23.5,26.5
Garlic Chole,Breakfast,711,38.5,90.2,24.7
Masala Khichdi,Snack,399,29.2,39.3,8.1
Curry Rajma,Snack,390,22.9,51.1,28.7
Dry Sandwich,Dinner,678,16.0,72.1,14.4
Steamed Oats,Breakfast,611,49.0,78.7,23.2
Garlic Dal,Dinner,359,35.0,111.3,12.2
Roasted Rajma,Lunch,568,43.7,92.3,39.5
Masala Biryani,Dinner,412,15.5,51.7,27.6
Steamed Lentil,Snack,488,13.7,102.1,29.3
Butter Sprouts,Snack,759,24.9,27.7,12.4
Butter Quinoa,Snack,451,8.6,111.5,11.9
Curry Idli,Dinner,277,6.4,26.9,19.5
Dry Tofu,Dinner,397,25.6,115.9,29.1
Grilled Biryani,Breakfast,540,10.0,58.8,7.4
Grilled Upma,Breakfast,780,13.3,81.2,23.1
Curry Dal,Snack,311,27.4,80.1,36.2
Dry Sprouts,Dinner,187,9.5,60.2,16.4
Masala Paratha,Breakfast,654,34.8,117.4,28.6
Butter Tofu,Snack,202,8.6,35.7,19.4
Curry Roti,Lunch,536,14.0,113.5,11.9
Classic Smoothie,Breakfast,409,5.0,57.4,33.6
Garlic Biryani,Lunch,364,19.7,64.8,18.4
Steamed Soup,Lunch,180,47.2,83.8,35.9
Mild Chicken,Snack,595,6.3,97.4,11.3
Steamed Brown Rice,Dinner,305,36.1,29.2,30.6
High Protein Upma,Snack,222,13.4,39.4,31.1
Herb White Rice,Snack,451,9.4,19.2,21.8
Roasted Smoothie,Lunch,712,43.7,13.0,21.3
Spicy Pulao,Breakfast,468,44.6,18.5,38.7
Herb Dal,Lunch,197,18.4,86.9,31.7
Tandoori Fish,Snack,211,47.7,89.8,26.7
Garlic Salad,Dinner,737,15.6,113.0,36.7
High Protein Lentil,Lunch,458,35.0,42.9,28.0
Grilled White Rice,Snack,526,25.2,17.7,22.9
Roasted Sprouts,Breakfast,291,41.8,108.9,23.3
Steamed Poha,Lunch,631,31.0,53.7,31.2
Classic Chole,Dinner,480,44.9,118.1,20.9
Grilled Roti,Breakfast,622,19.0,55.5,36.9
High Protein Egg,Lunch,215,17.5,101.4,9.1
Roasted Brown Rice,Snack,466,16.8,17.2,7.4
Butter Chicken,Snack,266,17.0,98.3,38.0
Butter Tofu,Snack,166,29.8,10.5,17.5
High Protein Idli,Dinner,654,20.1,93.7,24.6
Steamed Upma,Snack,361,13.6,45.5,35.5
Masala Tofu,Snack,660,40.2,35.6,19.6
Garlic Biryani,Snack,775,24.0,81.6,25.3
Tandoori Paneer,Breakfast,761,32.3,98.0,21.4
Tandoori Fish,Lunch,798,47.7,98.4,32.8
Classic Dal,Lunch,292,41.1,61.1,17.3
Low Fat Brown Rice,Snack,491,5.1,102.1,10.6
Tandoori Khichdi,Snack,580,44.4,69.0,19.2
Tandoori Pulao,Lunch,570,26.7,108.6,9.4
Garlic Poha,Lunch,742,39.4,107.0,33.5
Classic Khichdi,Breakfast,428,32.5,78.5,14.8
Masala Oats,Dinner,206,8.9,13.7,18.1
Vegan Sprouts,Breakfast,226,15.2,114.4,7.7
Curry Rajma,Breakfast,508,35.8,42.0,24.9
Butter Egg,Lunch,243,41.7,95.5,25.8
Steamed Khichdi,Lunch,499,46.7,96.5,33.5
Spicy Tofu,Lunch,445,10.3,32.3,27.4
Butter Tofu,Snack,461,32.0,60.2,33.2
High Protein Soya,Snack,355,33.2,64.4,6.7
Roasted Salad,Breakfast,623,6.5,34.3,6.1
Roasted Chicken,Breakfast,478,38.3,117.3,20.5
Mild Tofu,Breakfast,653,29.5,17.5,33.5
Garlic Biryani,Dinner,270,33.4,28.2,9.9
Masala Biryani,Snack,707,19.9,69.6,24.4
Grilled Idli,Lunch,152,19.1,90.9,20.8
Spicy Rajma,Dinner,218,12.9,81.5,28.8
Steamed Smoothie,Lunch,171,35.5,69.6,8.7
Steamed Sandwich,Dinner,679,42.5,33.0,38.5
Steamed Soup,Breakfast,295,38.7,19.6,33.7
Classic Paneer,Lunch,261,10.1,74.2,12.3
Curry Biryani,Lunch,363,22.0,33.4,28.3
Vegan White Rice,Snack,246,28.9,11.0,20.8
Roasted Oats,Dinner,690,21.7,69.1,22.0
Roasted Sprouts,Breakfast,507,37.6,76.7,20.1
Spicy Pulao,Dinner,264,42.6,15.7,38.2
Grilled Soup,Lunch,612,36.6,42.3,26.2
Butter Paneer,Snack,678,23.2,116.5,21.6
High Protein Dal,Breakfast,724,31.4,104.3,17.7
Low Fat Dal,Dinner,355,20.7,80.0,6.2
Tandoori Brown Rice,Snack,403,23.0,56.1,5.9
Butter Biryani,Breakfast,781,29.9,106.2,13.5
Tandoori Tofu,Lunch,271,5.2,117.7,7.7
Classic White Rice,Lunch,612,8.1,61.2,20.9
Classic Smoothie,Dinner,776,7.4,43.7,21.3
Mild Sprouts,Dinner,782,48.8,92.3,13.8
Mild Oats,Snack,796,24.8,111.5,27.0
Low Fat Paneer,Dinner,471,6.1,28.1,33.3
Dry Sandwich,Dinner,175,29.0,84.3,36.2
Vegan Idli,Lunch,757,33.7,70.9,37.0
Spicy Pulao,Dinner,531,31.3,63.4,18.2
Masala Soya,Dinner,569,41.7,65.2,9.7
Spicy Soup,Breakfast,422,17.4,45.8,6.1
Spicy Lentil,Lunch,248,23.2,94.3,35.2
Fried Upma,Dinner,571,37.1,104.5,25.4
Steamed Pulao,Dinner,366,45.7,61.5,16.4
Dry Sandwich,Dinner,708,23.6,91.6,32.6
Curry Pulao,Dinner,447,30.7,14.8,35.2
Garlic Salad,Dinner,357,49.6,72.9,30.5
High Protein Soup,Breakfast,552,11.0,111.0,30.1
Mild Chicken,Dinner,442,38.3,48.1,22.6
Dry Tofu,Snack,768,27.9,109.7,28.0
Grilled Dosa,Lunch,404,48.3,105.2,16.9
Mild Dosa,Lunch,707,37.7,77.0,33.9
Steamed Chole,Snack,798,45.4,106.5,31.6
Butter Sprouts,Lunch,209,32.0,49.0,30.5
Grilled Rajma,Lunch,158,30.7,115.5,23.2
Butter Dosa,Dinner,275,8.6,18.9,31.3
Vegan Soup,Dinner,357,18.7,96.0,6.7
Classic Chicken,Dinner,494,18.3,32.3,22.3
Dry Paneer,Lunch,785,48.1,16.2,19.9
Garlic White Rice,Dinner,530,5.8,74.3,6.8
Classic Quinoa,Breakfast,764,5.3,38.2,32.5
Classic Paratha,Snack,244,25.7,100.7,20.5
Classic Quinoa,Lunch,176,20.8,102.2,32.2
Steamed Soya,Breakfast,651,29.1,61.7,9.2
Masala Pulao,Snack,516,22.8,84.3,28.0
Classic Tofu,Snack,720,35.4,109.9,30.3
Vegan Upma,Snack,303,37.1,65.6,34.8
Classic Brown Rice,Lunch,363,30.7,103.3,6.8
Curry Rajma,Lunch,207,5.5,36.7,34.0
Mild Tofu,Dinner,544,39.2,116.8,9.3
Fried Rajma,Snack,713,25.0,64.8,24.2
Curry Pulao,Snack,515,28.3,54.8,32.2
Butter Roti,Snack,479,41.3,69.7,22.0
Mild Upma,Dinner,394,29.9,46.7,35.7
Curry Idli,Dinner,285,38.5,44.6,38.3
Spicy Soya,Snack,208,36.1,119.9,30.6
Mild Mushroom,Breakfast,604,23.1,106.4,18.2
Butter Pulao,Breakfast,675,6.8,78.5,16.8
Butter Pulao,Breakfast,715,42.9,56.9,39.2
Spicy Sandwich,Breakfast,776,49.0,47.3,21.3
Classic Sandwich,Snack,582,14.8,117.1,7.9
Grilled Quinoa,Snack,327,29.3,12.6,24.0
Mild Paratha,Lunch,385,19.3,110.1,13.4
Fried Dal,Lunch,233,17.8,26.7,27.9
Mild Lentil,Dinner,566,33.3,17.2,33.8
Vegan Smoothie,Snack,151,31.1,13.0,5.5
Butter Khichdi,Breakfast,416,47.3,74.7,24.7
Tandoori Sprouts,Snack,272,13.8,27.3,8.9
Dry Smoothie,Lunch,733,8.8,81.4,13.8
Steamed Dosa,Lunch,318,27.1,22.1,8.9
Steamed Salad,Breakfast,369,14.3,117.3,13.6
Herb Biryani,Dinner,581,5.5,49.3,10.5
Tandoori Oats,Breakfast,432,46.3,19.0,24.9
Vegan White Rice,Snack,702,27.3,94.5,36.9
Fried Biryani,Snack,224,44.4,70.7,27.6
Curry Chicken,Dinner,665,43.4,108.9,35.7
Steamed Brown Rice,Lunch,318,26.1,69.9,33.8
Garlic Tofu,Snack,338,48.3,66.1,39.3
Dry Mushroom,Snack,766,8.8,14.4,37.0
Classic Oats,Breakfast,782,25.0,76.7,12.8
Garlic Sandwich,Breakfast,581,12.0,116.8,27.9
High Protein Fish,Lunch,632,42.2,33.1,6.5
High Protein Biryani,Breakfast,648,33.4,33.1,39.8
Classic Khichdi,Lunch,451,48.4,55.7,23.4
Tandoori Upma,Dinner,194,26.1,100.0,26.0
Mild Dosa,Snack,362,48.0,63.5,22.2
Steamed Khichdi,Lunch,321,38.3,92.3,14.8
Mild Paneer,Lunch,562,19.7,65.0,37.7
Low Fat Biryani,Lunch,542,27.7,34.0,17.1
Curry Quinoa,Dinner,538,40.8,111.3,29.2
Butter Paratha,Snack,715,43.7,65.0,7.6
Roasted Sprouts,Breakfast,711,39.8,67.8,18.2
Tandoori Dal,Lunch,255,30.1,25.4,14.8
High Protein Rajma,Breakfast,617,32.8,66.8,27.7
Low Fat Brown Rice,Lunch,448,31.9,100.1,12.0
Mild Paratha,Lunch,493,18.2,104.0,16.3
Garlic Sandwich,Lunch,423,28.4,48.9,37.9
Spicy Quinoa,Snack,161,45.1,53.9,33.2
Herb Salad,Breakfast,460,20.3,82.5,15.9
Dry Brown Rice,Breakfast,510,39.5,45.1,19.4
Spicy Soya,Snack,226,47.2,100.7,35.1
Mild Mushroom,Dinner,511,41.6,16.7,18.4
Grilled Fish,Lunch,407,39.0,39.5,12.6
Tandoori Sprouts,Lunch,513,6.8,63.2,15.7
Vegan Smoothie,Breakfast,781,29.7,111.7,31.4
High Protein Paratha,Dinner,645,13.8,29.8,10.4
Curry Smoothie,Lunch,213,23.5,15.3,15.1
Masala Soup,Breakfast,778,22.5,14.7,35.4
Spicy Pulao,Snack,429,17.9,44.8,23.2
Roasted Quinoa,Snack,639,36.4,81.3,8.7
Spicy Roti,Lunch,314,33.8,66.5,23.0
Garlic Egg,Dinner,694,5.2,110.0,28.8
Roasted Roti,Breakfast,480,24.6,47.7,10.0
Spicy Paratha,Dinner,640,19.4,91.1,32.9
Dry Quinoa,Dinner,794,11.0,52.9,34.3
Steamed Roti,Snack,281,36.6,103.6,6.1
Vegan Rajma,Dinner,260,30.2,65.8,26.8
Low Fat Chole,Lunch,463,32.5,27.5,16.4
Low Fat Tofu,Lunch,728,17.3,43.4,22.2
Tandoori Lentil,Dinner,377,25.3,69.3,16.2
High Protein Fish,Snack,347,42.5,103.6,31.4
Butter Idli,Breakfast,356,33.2,28.9,36.1
Herb Lentil,Breakfast,165,41.6,38.2,35.1
Garlic Dal,Dinner,658,33.6,115.5,21.8
Butter Sprouts,Breakfast,398,20.9,45.9,17.3
Mild Smoothie,Dinner,453,33.8,117.1,38.3
Vegan Khichdi,Breakfast,207,44.2,37.2,23.7
Low Fat Tofu,Lunch,629,22.2,58.5,37.7
Classic Oats,Breakfast,221,41.5,31.4,23.2
Masala Paratha,Breakfast,417,31.8,16.5,36.8
Herb Soup,Lunch,497,28.6,46.3,5.1
Roasted Smoothie,Dinner,781,40.2,90.7,14.2
Spicy Upma,Snack,591,30.3,87.3,17.0
Grilled Sandwich,Dinner,580,38.6,59.4,30.5
Roasted Chicken,Lunch,457,42.9,112.4,7.7
Tandoori Roti,Snack,242,49.9,111.2,16.4
Grilled Dal,Dinner,316,34.0,52.4,18.6
Mild Upma,Dinner,171,8.3,101.8,21.4
Garlic Quinoa,Snack,688,11.7,34.4,11.3
